partyName					Party Name :
partyAddress				Address :
gstNo						GSTN :
billNo						BillNo :
invoicedate					BillDate :
date						LR Date
lrNo						LR No
qty							PKG
lrSourceBranchLabel			From
invoceNo					Invoice No
wegt						Ch.Wt.
freight						FRT
hamali						Hamali
sTax						S_TAX
oct							OCT
otChrg						OT_CHA
total						TOTAL
srNumberLabel				SrNo.
lrDestination				To
consignor					C/nor
consignee					C/nee
bcCharge					B.C.	
transId						GST No:
ddch						DD CH
rate						Rate
item						Item
delyDate					CR Delivery Date
pvt 						Pvt. Mark
