-----------------SCM delivery print---------------
branch						Branch
IssuingOffice				Issuing Office
CRNo						CR No
Date						Date
LRNO						LR No.
LRDate						LR Date
FromCity					From City
LRType						LR Type:
Consignee					Consignee: 
DeliveredTo					Delivered To
srNo						Sr. No. 
cmpNo						Phone No
gst							GST No
Remark						Remark
ReceiveDate					Receive Date
Weight						Weight
NoPkgs						No. Pkgs
SaidToContain				Said To Contain
DeliveryCharges				Delivery Charges
AMOUNT						AMOUNT
Freight						Freight
Handling 					Handling
Demrage						Demrage
GodownIns					GodownIns
DoorDly						Door Dly
Commison					Commison
Other						Other
Discount					Discount
Total						Total
DeliveryReceipt				Delivery Receipt
of							of
noofarticles				No. of Articles
actualweight				Act. Wt.
chargeweight				Charge Wt.
lrAmount1					Lr. Amount
crCharge					Cr Charge
source						From
Destination					To 
consignor					Consignor : 
paymenttype					Payment Type:

LRDate1						Date
From 						From 
consigneename				Customer Name : 
gstn							Customer GST Number :
remark1						Remark : 
memoNumber					Memo Number :
receiptno					Receipt No :
cnee						C'Nee : 
from						From : 
to							To : 
vehicle						Vehicle No : 
deliveryTo					Receiver Name : 
deliveryToNo				Delivery To No : 
DeliveryAdd					Delivery Address:
DeliveryNo					Phone Number:
memoDate					Memo Date :
memoType					Memo Type : 
Type 						Type 
Article						Article
gc							GC
additionalFreight			Additional Freight
totalFreight				Total Freight
godown						Godown Name:
saidToContain				Said To Contain
deliveryToNumber			Delivery To Number
